representation,model,experiment_path,trial_id,trial_status,selected_winner,objective_name,objective,val_mean_horizon_mae_db,val_mae_db_t1,val_mae_db_t15,val_mae_db_t60,val_loss,forecast_epoch,training_time_seconds,ray_trial_time_seconds,parameters_json,checkpoint_path
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search,00000_0,completed,False,val_mean_horizon_mae_db,3.266616,3.266616,3.144430,3.305223,3.350195,0.994242,5,1908.38,,"{""architecture"": ""tiny"", ""capacity"": ""tiny"", ""seed"": 42, ""train.batch_size"": 4, ""train.learning_rate"": 0.0002, ""train.optimizer"": ""adam"", ""train.weight_decay"": 0.004}",
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search,00001_1,completed,False,val_mean_horizon_mae_db,1.518560,1.518560,1.493641,1.521973,1.540065,0.325878,15,12026.94,,"{""architecture"": ""small"", ""capacity"": ""small"", ""seed"": 42, ""train.batch_size"": 4, ""train.learning_rate"": 0.0002, ""train.optimizer"": ""adamw"", ""train.weight_decay"": 0.004}",
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search,00002_2,completed,True,val_mean_horizon_mae_db,1.241476,1.241476,1.182822,1.245177,1.296430,0.298986,20,16216.28,,"{""architecture"": ""reference"", ""capacity"": ""reference"", ""seed"": 42, ""train.batch_size"": 4, ""train.learning_rate"": 0.0002, ""train.optimizer"": ""adamw"", ""train.weight_decay"": 0.004}",spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search/trainable_619f6_00002_2_train_optimizer=adamw_2026-07-28_17-11-32/checkpoint_000000/checkpoints/powder_600_800_t4t6_convlstm.pt
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search,00003_3,completed,False,val_mean_horizon_mae_db,1.333616,1.333616,1.291067,1.329753,1.380029,0.302502,19,15964.96,,"{""architecture"": ""historical:summary70_c5_adamw"", ""capacity"": ""historical:summary70_c5_adamw"", ""seed"": 42, ""train.batch_size"": 4, ""train.learning_rate"": 0.0003, ""train.optimizer"": ""adamw"", ""train.weight_decay"": 0.0001}",spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search/trainable_619f6_00003_3_2026-07-28_17-11-32/checkpoint_000000/checkpoints/powder_600_800_t4t6_convlstm.pt
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search,00004_4,completed,False,val_mean_horizon_mae_db,1.289577,1.289577,1.266652,1.300985,1.301093,0.300793,20,15856.51,,"{""architecture"": ""small"", ""capacity"": ""random"", ""seed"": 42, ""train.batch_size"": 4, ""train.learning_rate"": 0.00033589075424813437, ""train.optimizer"": ""adam"", ""train.weight_decay"": 0.0}","spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search/trainable_619f6_00004_4_architecture=small,train_batch_size=4,train_learning_rate=0.0003,train_optimizer=adam,train_weight_decay=0_2026-07-28_17-11-32/checkpoint_000000/checkpoints/powder_600_800_t4t6_convlstm.pt"
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search,00005_5,completed,False,val_mean_horizon_mae_db,1.432766,1.432766,1.420444,1.433553,1.444301,0.313314,19,7241.65,,"{""architecture"": ""tiny"", ""capacity"": ""random"", ""seed"": 42, ""train.batch_size"": 4, ""train.learning_rate"": 0.000466857354970491, ""train.optimizer"": ""adamw"", ""train.weight_decay"": 0.001}","spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search/trainable_619f6_00005_5_architecture=tiny,train_batch_size=4,train_learning_rate=0.0005,train_optimizer=adamw,train_weight_decay=0_2026-07-28_17-11-32/checkpoint_000000/checkpoints/powder_600_800_t4t6_convlstm.pt"
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search,00006_6,completed,False,val_mean_horizon_mae_db,2.755270,2.755270,2.775664,2.760171,2.729973,0.704167,5,7726.00,,"{""architecture"": ""historical:summary70_c5_adamw"", ""capacity"": ""random"", ""seed"": 42, ""train.batch_size"": 2, ""train.learning_rate"": 4.3018645964873775e-05, ""train.optimizer"": ""adamw"", ""train.weight_decay"": 0.004}",
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search,00007_7,completed,False,val_mean_horizon_mae_db,3.441530,3.441530,3.465213,3.442526,3.416851,0.990594,5,7714.17,,"{""architecture"": ""small"", ""capacity"": ""random"", ""seed"": 42, ""train.batch_size"": 2, ""train.learning_rate"": 0.0004069001945792861, ""train.optimizer"": ""adam"", ""train.weight_decay"": 0.004}",
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search,00008_8,completed,False,val_mean_horizon_mae_db,1.276465,1.276465,1.266801,1.278813,1.283782,0.306819,20,64285.96,,"{""architecture"": ""historical:summary70_c5_adamw"", ""capacity"": ""random"", ""seed"": 42, ""train.batch_size"": 1, ""train.learning_rate"": 0.00010444949369071076, ""train.optimizer"": ""adam"", ""train.weight_decay"": 0.0001}","spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search/trainable_619f6_00008_8_architecture=historical_summary70_c5_adamw,train_batch_size=1,train_learning_rate=0.0001,train_optimizer=a_2026-07-28_17-11-32/checkpoint_000000/checkpoints/powder_600_800_t4t6_convlstm.pt"
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260728-v5-4d/convlstm/convlstm-search,00009_9,completed,False,val_mean_horizon_mae_db,3.455410,3.455410,3.479194,3.455718,3.431318,1.053882,5,3944.50,,"{""architecture"": ""reference"", ""capacity"": ""random"", ""seed"": 42, ""train.batch_size"": 4, ""train.learning_rate"": 3.590015215908451e-05, ""train.optimizer"": ""adam"", ""train.weight_decay"": 0.004}",
